BuilderSubdivisionID,Subdivision,Builder,Status,ProductStyle,City,County,State,Latitude,Longitude,SubmarketID,SubmarketName,UnitsPlanned,UnitsRemaining,AnnualStarts,AnnualClosings
F4EE760E-E941-4658-97F3-202019B7AB7D,Meadow Creek,Century Communities,Active,Single-Family Detached,Crestview,Okaloosa,FL,30.807871,-86.496679,SM-17,Crestview,13,6,8.0,7.0
F2F94228-6C1E-4C7F-B4A6-050B74081570,Bayou Ridge,Lennar Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.333529,-87.69382,SM-04,South Baldwin,50,29,49.0,21.0
BE54774F-AFF5-41F9-B605-C9B7D16E1331,Watson Bayou,,Active,Single-Family Detached,Panama City,Bay,FL,30.154426,-85.635778,SM-28,Panama City,14,14,0.0,0.0
8D96E4F1-EF50-462F-AA5A-8F3DAD8781D4,Houston Place,DSLD Homes,Active,Single-Family Detached,Crestview,Okaloosa,FL,30.801479,-86.55032,SM-17,Crestview,72,70,16.0,2.0
5379A063-E356-4F05-AD29-CF1A879091A5,Jubilee (Gulf),Jubilee Builders,Active,Single-Family Detached,Port Saint Joe,Gulf,FL,29.918226,-85.37472,SM-31,Gulf County,16,16,0.0,0.0
600C8B40-650C-4BBE-9255-7EC03823200C,Windmark Beach/Village Center East,D.R. Horton Inc,Active,Single-Family Detached,Port Saint Joe,Gulf,FL,29.862365,-85.338187,SM-31,Gulf County,56,3,1.0,0.0
58D7419F-895D-4BA7-864A-C2EA56330400,"Knoll, The",DSLD Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.341964,-87.718029,SM-04,South Baldwin,96,90,23.0,6.0
0134916D-A628-422C-BD43-483747183D47,Foley Pointe,Maronda Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.373521,-87.716631,SM-04,South Baldwin,217,216,14.0,1.0
889114A5-CD53-403F-BBBF-A80919115CC2,Fox Hollow,D.R. Horton Inc,Built Out,Single-Family Detached,Fairhope,Baldwin,AL,30.519173,-87.86389,SM-06,West Baldwin,142,0,3.0,9.0
F4DF4CA3-DB73-4DEF-880B-D2A28A48064A,Caballeros Estates at Hombre/SF,D.R. Horton Inc,Active,Single-Family Detached,Panama City Beach,Bay,FL,30.188981,-85.802921,SM-22,Walton and Bay Beaches,116,67,38.0,29.0
85C6ABB6-021A-4EE9-A642-B1D47E439F67,Stadium Way,D.R. Horton Inc,Active,Single-Family Detached,Pensacola,Escambia,FL,30.407941,-87.233019,SM-07,Pensacola,33,24,13.0,8.0
0BF9DC4E-4BDD-44CE-97A8-4499E1C17EBB,Pines at Colleton Place,D.R. Horton Inc,Active,Single-Family Detached,Semmes,Mobile,AL,30.715513,-88.234463,SM-02,Central Mobile,171,163,18.0,8.0
9D116A1D-D74C-46EA-8D2E-C9DCAEC83F5F,Jambalaya Farms,Meritage Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.462096,-87.683296,SM-12,Central Baldwin,77,77,0.0,0.0
EB317A83-DE61-4F75-B206-A557366BFBF3,Adeline Estates,D.R. Horton Inc,Active,Single-Family Detached,Silverhill,Baldwin,AL,30.54417,-87.778474,SM-12,Central Baldwin,21,6,7.0,13.0
